Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Switzerland,Super League,2016/2017,23/07/2016,16:45,Lugano,Luzern,1,2,A,3.53,3.81,2.09,3.67,3.82,2.1,3.38,3.6,2.01
Switzerland,Super League,2016/2017,23/07/2016,19:00,St. Gallen,Young Boys,0,2,A,4.64,4.1,1.77,4.65,4.26,1.9,4.19,3.88,1.75
Switzerland,Super League,2016/2017,24/07/2016,12:45,Grasshoppers,Lausanne,2,0,H,1.83,3.91,4.51,1.99,4,4.51,1.79,3.74,4.11
Switzerland,Super League,2016/2017,24/07/2016,12:45,Thun,Vaduz,1,1,D,2.2,3.46,3.55,2.2,3.58,3.8,2.09,3.37,3.41
Switzerland,Super League,2016/2017,24/07/2016,15:00,Basel,Sion,3,0,H,1.75,3.86,5.16,1.75,4.1,5.45,1.68,3.81,4.74
Switzerland,Super League,2016/2017,30/07/2016,16:45,Sion,St. Gallen,2,1,H,1.63,4.23,5.69,1.68,4.26,5.85,1.61,3.91,5.23
Switzerland,Super League,2016/2017,30/07/2016,19:00,Young Boys,Lugano,1,2,A,1.43,5.4,7.07,1.43,5.55,7.73,1.38,4.96,7.02
Switzerland,Super League,2016/2017,31/07/2016,12:45,Lausanne,Thun,4,4,D,2.77,3.45,2.67,2.77,3.52,2.96,2.57,3.3,2.65
Switzerland,Super League,2016/2017,31/07/2016,12:45,Vaduz,Basel,1,5,A,7.5,4.8,1.46,7.73,4.82,1.5,6.68,4.39,1.45
Switzerland,Super League,2016/2017,31/07/2016,15:00,Luzern,Grasshoppers,4,3,H,2.05,3.79,3.65,2.2,3.79,3.72,2.04,3.55,3.38
Switzerland,Super League,2016/2017,06/08/2016,16:45,Young Boys,Thun,4,1,H,1.51,4.78,6.55,1.56,4.78,6.6,1.5,4.34,5.82
Switzerland,Super League,2016/2017,06/08/2016,19:00,Sion,Lausanne,1,3,A,1.48,4.8,7.18,1.55,4.8,7.18,1.47,4.33,6.32
Switzerland,Super League,2016/2017,07/08/2016,12:45,Lugano,Vaduz,0,2,A,2.06,3.68,3.73,2.09,3.77,3.87,1.99,3.5,3.55
Switzerland,Super League,2016/2017,07/08/2016,12:45,Luzern,Basel,2,3,A,4.51,3.95,1.82,4.76,4.06,1.85,4.2,3.72,1.78
Switzerland,Super League,2016/2017,07/08/2016,15:00,St. Gallen,Grasshoppers,2,1,H,3.32,3.72,2.2,3.4,3.72,2.5,3.08,3.5,2.19
Switzerland,Super League,2016/2017,10/08/2016,18:45,Lugano,Sion,3,1,H,3.87,3.72,2.01,3.87,3.82,2.2,3.42,3.49,2.04
Switzerland,Super League,2016/2017,10/08/2016,18:45,Vaduz,Luzern,1,3,A,3.85,4.05,1.93,3.9,4.05,2.1,3.5,3.69,1.95
Switzerland,Super League,2016/2017,10/08/2016,19:30,Basel,Young Boys,3,0,H,1.78,3.86,4.91,1.83,4.05,5.2,1.72,3.77,4.47
Switzerland,Super League,2016/2017,11/08/2016,18:45,Lausanne,St. Gallen,1,0,H,2.04,3.89,3.59,2.3,3.89,3.6,2.04,3.61,3.29
Switzerland,Super League,2016/2017,11/08/2016,18:45,Thun,Grasshoppers,2,1,H,2.89,3.66,2.46,2.92,3.72,2.56,2.75,3.46,2.4
Switzerland,Super League,2016/2017,20/08/2016,16:45,Young Boys,Lausanne,7,2,H,1.43,5.29,7.43,1.55,5.29,7.43,1.43,4.72,6.45
Switzerland,Super League,2016/2017,20/08/2016,19:00,Basel,Lugano,4,1,H,1.21,7.59,14.88,1.23,7.93,16.84,1.2,6.66,12.13
Switzerland,Super League,2016/2017,21/08/2016,12:45,Grasshoppers,Sion,2,1,H,2.67,3.54,2.72,2.67,3.67,2.92,2.5,3.4,2.67
Switzerland,Super League,2016/2017,21/08/2016,12:45,Luzern,Thun,3,0,H,1.58,4.44,5.92,1.65,4.46,6.3,1.57,4.11,5.36
Switzerland,Super League,2016/2017,21/08/2016,15:00,Vaduz,St. Gallen,2,0,H,2.14,3.77,3.41,2.27,3.77,3.42,2.14,3.49,3.17
Switzerland,Super League,2016/2017,27/08/2016,16:45,Lugano,Lausanne,1,1,D,2.22,3.8,3.21,2.25,3.87,3.4,2.16,3.55,3.08
Switzerland,Super League,2016/2017,27/08/2016,19:00,Sion,Vaduz,3,1,H,1.57,4.54,5.94,1.6,4.54,6.75,1.55,4.12,5.54
Switzerland,Super League,2016/2017,28/08/2016,12:45,Grasshoppers,Young Boys,4,1,H,3.28,3.79,2.17,3.28,3.92,2.23,3.11,3.58,2.13
Switzerland,Super League,2016/2017,28/08/2016,12:45,St. Gallen,Luzern,3,0,H,4.28,4.17,1.81,4.28,4.17,1.93,3.87,3.83,1.82
Switzerland,Super League,2016/2017,28/08/2016,15:00,Thun,Basel,0,3,A,5.41,4.22,1.66,6.14,4.3,1.66,5.24,3.96,1.6
Switzerland,Super League,2016/2017,10/09/2016,19:00,Basel,Grasshoppers,3,1,H,1.42,5.26,7.67,1.5,5.3,8.52,1.39,4.76,7.23
Switzerland,Super League,2016/2017,10/09/2016,19:00,Young Boys,Luzern,2,1,H,1.75,4.16,4.68,1.8,4.36,4.68,1.72,3.92,4.29
Switzerland,Super League,2016/2017,11/09/2016,12:45,Lausanne,Vaduz,5,0,H,2.08,3.81,3.56,2.09,3.92,3.66,1.99,3.58,3.46
Switzerland,Super League,2016/2017,11/09/2016,12:45,Sion,Thun,1,0,H,1.78,4.04,4.62,1.83,4.04,5,1.74,3.76,4.41
