web-scraper-order,web-scraper-start-url,navigation,scoreLink,scoreLink-href,HTeam,ATeam,date,detail
"1716287609-1","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","2‑3","https://thefishy.co.uk/livematch2/fc-sion-v-basel-608376","FC Sion","Basel","28-Jan-2021 19:30","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""2""},{""detail"":""52""},{""detail"":""Possession""},{""detail"":""48""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""7""},{""detail"":""5""},{""detail"":""Shots off Target""},{""detail"":""5""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""0""},{""detail"":""4""},{""detail"":""Shots Per Goal""},{""detail"":""4""},{""detail"":""5""},{""detail"":""Shots Blocked""},{""detail"":""2""},{""detail"":""8""},{""detail"":""Attempts on Goal""},{""detail"":""12""},{""detail"":""4""},{""detail"":""Saves""},{""detail"":""1""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""8""},{""detail"":""17""},{""detail"":""Fouls""},{""detail"":""7""},{""detail"":""0""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""407""},{""detail"":""Total Passes""},{""detail"":""381""},{""detail"":""296""},{""detail"":""Accurate Passes""},{""detail"":""278""},{""detail"":""73""},{""detail"":""Pass Accuracy(%)""},{""detail"":""73""}]"
"1716287611-2","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","2‑3","https://thefishy.co.uk/livematch2/st-gallen-v-fc-zurich-608382","St Gallen","FC Zurich","30-Jan-2021 19:30","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""4""},{""detail"":""63""},{""detail"":""Possession""},{""detail"":""37""},{""detail"":""5""},{""detail"":""Shots on Target""},{""detail"":""8""},{""detail"":""9""},{""detail"":""Shots off Target""},{""detail"":""7""},{""detail"":""8""},{""detail"":""Shots Outside Box""},{""detail"":""1""},{""detail"":""7""},{""detail"":""Shots Per Goal""},{""detail"":""5""},{""detail"":""6""},{""detail"":""Shots Blocked""},{""detail"":""0""},{""detail"":""14""},{""detail"":""Attempts on Goal""},{""detail"":""15""},{""detail"":""5""},{""detail"":""Saves""},{""detail"":""4""},{""detail"":""11""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""16""},{""detail"":""Fouls""},{""detail"":""10""},{""detail"":""1""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""456""},{""detail"":""Total Passes""},{""detail"":""267""},{""detail"":""334""},{""detail"":""Accurate Passes""},{""detail"":""161""},{""detail"":""73""},{""detail"":""Pass Accuracy(%)""},{""detail"":""60""}]"
"1716287613-3","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","2‑1","https://thefishy.co.uk/livematch2/young-boys-v-fc-sion-608384","Young Boys","FC Sion","31-Jan-2021 15:00","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""58""},{""detail"":""Possession""},{""detail"":""42""},{""detail"":""10""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""6""},{""detail"":""Shots off Target""},{""detail"":""3""},{""detail"":""7""},{""detail"":""Shots Outside Box""},{""detail"":""2""},{""detail"":""8""},{""detail"":""Shots Per Goal""},{""detail"":""7""},{""detail"":""5""},{""detail"":""Shots Blocked""},{""detail"":""0""},{""detail"":""16""},{""detail"":""Attempts on Goal""},{""detail"":""7""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""8""},{""detail"":""10""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""15""},{""detail"":""Fouls""},{""detail"":""19""},{""detail"":""3""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""470""},{""detail"":""Total Passes""},{""detail"":""347""},{""detail"":""356""},{""detail"":""Accurate Passes""},{""detail"":""221""},{""detail"":""76""},{""detail"":""Pass Accuracy(%)""},{""detail"":""64""}]"
"1716287615-4","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","1‑1","https://thefishy.co.uk/livematch2/servette-fc-v-lausanne-sports-608381","Servette FC","Lausanne Sports","31-Jan-2021 15:00","[{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""70""},{""detail"":""Possession""},{""detail"":""30""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""7""},{""detail"":""8""},{""detail"":""Shots off Target""},{""detail"":""0""},{""detail"":""9""},{""detail"":""Shots Outside Box""},{""detail"":""6""},{""detail"":""11""},{""detail"":""Shots Per Goal""},{""detail"":""7""},{""detail"":""7""},{""detail"":""Shots Blocked""},{""detail"":""4""},{""detail"":""11""},{""detail"":""Attempts on Goal""},{""detail"":""7""},{""detail"":""6""},{""detail"":""Saves""},{""detail"":""2""},{""detail"":""9""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""8""},{""detail"":""Fouls""},{""detail"":""10""},{""detail"":""1""},{""detail"":""Offsides""},{""detail"":""0""},{""detail"":""620""},{""detail"":""Total Passes""},{""detail"":""275""},{""detail"":""541""},{""detail"":""Accurate Passes""},{""detail"":""187""},{""detail"":""87""},{""detail"":""Pass Accuracy(%)""},{""detail"":""68""}]"
"1716287617-5","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","2‑2","https://thefishy.co.uk/livematch2/basel-v-fc-lugano-608380","Basel","FC Lugano","31-Jan-2021 15:00","[{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""65""},{""detail"":""Possession""},{""detail"":""35""},{""detail"":""5""},{""detail"":""Shots on Target""},{""detail"":""3""},{""detail"":""6""},{""detail"":""Shots off Target""},{""detail"":""4""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""5""},{""detail"":""5.5""},{""detail"":""Shots Per Goal""},{""detail"":""3.5""},{""detail"":""2""},{""detail"":""Shots Blocked""},{""detail"":""5""},{""detail"":""11""},{""detail"":""Attempts on Goal""},{""detail"":""7""},{""detail"":""1""},{""detail"":""Saves""},{""detail"":""3""},{""detail"":""8""},{""detail"":""Corners""},{""detail"":""5""},{""detail"":""13""},{""detail"":""Fouls""},{""detail"":""12""},{""detail"":""1""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""564""},{""detail"":""Total Passes""},{""detail"":""282""},{""detail"":""475""},{""detail"":""Accurate Passes""},{""detail"":""188""},{""detail"":""84""},{""detail"":""Pass Accuracy(%)""},{""detail"":""67""}]"
"1716287620-6","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","1‑4","https://thefishy.co.uk/livematch2/fc-zurich-v-young-boys-608389","FC Zurich","Young Boys","03-Feb-2021 17:15","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""34""},{""detail"":""Possession""},{""detail"":""66""},{""detail"":""5""},{""detail"":""Shots on Target""},{""detail"":""7""},{""detail"":""2""},{""detail"":""Shots off Target""},{""detail"":""8""},{""detail"":""3""},{""detail"":""Shots Outside Box""},{""detail"":""4""},{""detail"":""7""},{""detail"":""Shots Per Goal""},{""detail"":""3.8""},{""detail"":""0""},{""detail"":""Shots Blocked""},{""detail"":""5""},{""detail"":""7""},{""detail"":""Attempts on Goal""},{""detail"":""15""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""4""},{""detail"":""2""},{""detail"":""Corners""},{""detail"":""6""},{""detail"":""8""},{""detail"":""Fouls""},{""detail"":""17""},{""detail"":""1""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""311""},{""detail"":""Total Passes""},{""detail"":""599""},{""detail"":""231""},{""detail"":""Accurate Passes""},{""detail"":""520""},{""detail"":""74""},{""detail"":""Pass Accuracy(%)""},{""detail"":""87""}]"
"1716287622-7","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","3‑2","https://thefishy.co.uk/livematch2/fc-sion-v-st-gallen-608388","FC Sion","St Gallen","03-Feb-2021 19:30","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""49""},{""detail"":""Possession""},{""detail"":""51""},{""detail"":""10""},{""detail"":""Shots on Target""},{""detail"":""5""},{""detail"":""8""},{""detail"":""Shots off Target""},{""detail"":""9""},{""detail"":""7""},{""detail"":""Shots Outside Box""},{""detail"":""7""},{""detail"":""6""},{""detail"":""Shots Per Goal""},{""detail"":""7""},{""detail"":""8""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""18""},{""detail"":""Attempts on Goal""},{""detail"":""14""},{""detail"":""4""},{""detail"":""Saves""},{""detail"":""6""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""5""},{""detail"":""16""},{""detail"":""Fouls""},{""detail"":""15""},{""detail"":""3""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""355""},{""detail"":""Total Passes""},{""detail"":""355""},{""detail"":""233""},{""detail"":""Accurate Passes""},{""detail"":""236""},{""detail"":""66""},{""detail"":""Pass Accuracy(%)""},{""detail"":""66""}]"
"1716287624-8","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","1‑1","https://thefishy.co.uk/livematch2/fc-lugano-v-fc-vaduz-608386","FC Lugano","FC Vaduz","03-Feb-2021 19:30","[{""detail"":""3""},{""detail"":""Substitutions""},{""detail"":""3""},{""detail"":""66""},{""detail"":""Possession""},{""detail"":""34""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""2""},{""detail"":""5""},{""detail"":""Shots off Target""},{""detail"":""3""},{""detail"":""5""},{""detail"":""Shots Outside Box""},{""detail"":""2""},{""detail"":""8""},{""detail"":""Shots Per Goal""},{""detail"":""5""},{""detail"":""3""},{""detail"":""Shots Blocked""},{""detail"":""2""},{""detail"":""8""},{""detail"":""Attempts on Goal""},{""detail"":""5""},{""detail"":""1""},{""detail"":""Saves""},{""detail"":""2""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""3""},{""detail"":""13""},{""detail"":""Fouls""},{""detail"":""13""},{""detail"":""1""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""577""},{""detail"":""Total Passes""},{""detail"":""285""},{""detail"":""489""},{""detail"":""Accurate Passes""},{""detail"":""208""},{""detail"":""85""},{""detail"":""Pass Accuracy(%)""},{""detail"":""73""}]"
"1716287626-9","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","3‑0","https://thefishy.co.uk/livematch2/fc-luzern-v-servette-fc-608387","FC Luzern","Servette FC","04-Feb-2021 17:15","[{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""43""},{""detail"":""Possession""},{""detail"":""57""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""3""},{""detail"":""6""},{""detail"":""Shots off Target""},{""detail"":""5""},{""detail"":""4""},{""detail"":""Shots Outside Box""},{""detail"":""4""},{""detail"":""3""},{""detail"":""Shots Per Goal""},{""detail"":""N/A""},{""detail"":""5""},{""detail"":""Shots Blocked""},{""detail"":""1""},{""detail"":""9""},{""detail"":""Attempts on Goal""},{""detail"":""8""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""0""},{""detail"":""3""},{""detail"":""Corners""},{""detail"":""3""},{""detail"":""17""},{""detail"":""Fouls""},{""detail"":""16""},{""detail"":""2""},{""detail"":""Offsides""},{""detail"":""0""},{""detail"":""404""},{""detail"":""Total Passes""},{""detail"":""522""},{""detail"":""329""},{""detail"":""Accurate Passes""},{""detail"":""445""},{""detail"":""81""},{""detail"":""Pass Accuracy(%)""},{""detail"":""85""}]"
"1716287628-10","https://thefishy.co.uk/football-results.php?table=38&season=18","https://thefishy.co.uk/football-results.php?table=38&season=18&begin=90","1‑3","https://thefishy.co.uk/livematch2/lausanne-sports-v-basel-608385","Lausanne Sports","Basel","04-Feb-2021 19:30","[{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""3""},{""detail"":""58""},{""detail"":""Possession""},{""detail"":""42""},{""detail"":""2""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""7""},{""detail"":""Shots off Target""},{""detail"":""2""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""3""},{""detail"":""9""},{""detail"":""Shots Per Goal""},{""detail"":""2""},{""detail"":""2""},{""detail"":""Shots Blocked""},{""detail"":""2""},{""detail"":""9""},{""detail"":""Attempts on Goal""},{""detail"":""6""},{""detail"":""1""},{""detail"":""Saves""},{""detail"":""1""},{""detail"":""1""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""13""},{""detail"":""Fouls""},{""detail"":""4""},{""detail"":""534""},{""detail"":""Total Passes""},{""detail"":""374""},{""detail"":""458""},{""detail"":""Accurate Passes""},{""detail"":""290""},{""detail"":""86""},{""detail"":""Pass Accuracy(%)""},{""detail"":""78""}]"
