,scoreLink-href,HTeam,ATeam,Date,home_substitutions,away_substitutions,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_outside_box,away_shots_outside_box,home_shots_per_goal,away_shots_per_goal,home_shots_blocked,away_shots_blocked,home_attempts_on_goal,away_attempts_on_goal,home_saves,away_saves,home_corners,away_corners,home_fouls,away_fouls,home_offsides,away_offsides,home_total_passes,away_total_passes,home_accurate_passes,away_accurate_passes,home_pass_accuracy(%),away_pass_accuracy(%),Season,Time,Away,HG,AG,Res,avg_betting_odds_home,avg_betting_odds_draw,avg_betting_odds_away
0,https://thefishy.co.uk/livematch2/fc-sion-v-basel-608376,Sion,Basel,28/01/2021,5,2,52,48,3,7,5,5,6,0,1.5,2.3333333333333335,5,2,8,12,4,1,5,8,17,7,0,2,407,381,296,278,73,73,2020/2021,19:30,Basel,2,3,A,3.99,3.73,1.82
1,https://thefishy.co.uk/livematch2/st-gallen-v-fc-zurich-608382,St. Gallen,Zurich,30/01/2021,5,4,63,37,5,8,9,7,8,1,2.5,2.6666666666666665,6,0,14,15,5,4,11,2,16,10,1,2,456,267,334,161,73,60,2020/2021,19:30,Zurich,2,3,A,2.07,3.68,3.21
2,https://thefishy.co.uk/livematch2/young-boys-v-fc-sion-608384,Young Boys,Sion,31/01/2021,5,5,58,42,10,4,6,3,7,2,5.0,4.0,5,0,16,7,3,8,10,2,15,19,3,1,470,347,356,221,76,64,2020/2021,15:00,Sion,2,1,H,1.28,5.61,9.3
3,https://thefishy.co.uk/livematch2/servette-fc-v-lausanne-sports-608381,Servette,Lausanne,31/01/2021,4,5,70,30,3,7,8,0,9,6,3.0,7.0,7,4,11,7,6,2,9,2,8,10,1,0,620,275,541,187,87,68,2020/2021,15:00,Lausanne,1,1,D,2.65,3.44,2.5
4,https://thefishy.co.uk/livematch2/basel-v-fc-lugano-608380,Basel,Lugano,31/01/2021,4,5,65,35,5,3,6,4,6,5,2.5,1.5,2,5,11,7,1,3,8,5,13,12,1,1,564,282,475,188,84,67,2020/2021,15:00,Lugano,2,2,D,2.24,3.29,3.16
5,https://thefishy.co.uk/livematch2/fc-zurich-v-young-boys-608389,Zurich,Young Boys,03/02/2021,5,5,34,66,5,7,2,8,3,4,5.0,1.75,0,5,7,15,3,4,2,6,8,17,1,1,311,599,231,520,74,87,2020/2021,17:15,Young Boys,1,4,A,5.09,3.79,1.65
6,https://thefishy.co.uk/livematch2/fc-sion-v-st-gallen-608388,Sion,St. Gallen,03/02/2021,5,5,49,51,10,5,8,9,7,7,3.3333333333333335,2.5,8,3,18,14,4,6,5,5,16,15,3,1,355,355,233,236,66,66,2020/2021,19:30,St. Gallen,3,2,H,3.51,3.55,2.0
7,https://thefishy.co.uk/livematch2/fc-lugano-v-fc-vaduz-608386,Lugano,Vaduz,03/02/2021,3,3,66,34,3,2,5,3,5,2,3.0,2.0,3,2,8,5,1,2,5,3,13,13,1,1,577,285,489,208,85,73,2020/2021,19:30,Vaduz,1,1,D,1.94,3.22,4.17
8,https://thefishy.co.uk/livematch2/fc-luzern-v-servette-fc-608387,Luzern,Servette,04/02/2021,4,5,43,57,3,0,6,5,4,4,1.0,0.0,5,1,9,8,3,0,3,3,17,16,2,0,404,522,329,445,81,85,2020/2021,17:15,Servette,3,0,H,2.2,3.5,3.09
9,https://thefishy.co.uk/livematch2/lausanne-sports-v-basel-608385,Lausanne,Basel,04/02/2021,4,3,58,42,2,4,7,2,6,3,2.0,1.3333333333333333,2,2,9,6,1,1,1,2,13,4,2.0,1.0,534,374,458,290,86,78,2020/2021,19:30,Basel,1,3,A,2.74,3.55,2.38
